Direction,EntryPrice,ExitPrice,PnL,BarsHeld,ExitReason,RSI,ATR,Volatility,Trend,AgainstTrend,PinBarType,WickRatio,BodyRatio,NearBB,MaxFavorable%,MaxAdverse%,ReachedTP,ReachedSL,ImmediateReversal,NearMiss,Hour,DayOfWeek
PUT,4208.49,4212.65,-1.98,30,TIMEOUT,42.2,1.4563,low,sideways,No,bearish,59.5,5.2,No,0.12,0.10,No,No,No,No,4,4
CALL,4213.58,4208.70,-2.32,30,TIMEOUT,46.8,1.9181,low,sideways,Yes,bullish,68.3,12.8,Yes,0.05,0.24,No,No,No,No,5,4
PUT,4207.04,4211.43,-2.09,30,TIMEOUT,43.5,1.6662,low,sideways,No,bearish,53.8,26.0,Yes,0.04,0.11,No,No,No,No,6,4
PUT,4214.40,4225.58,-5.31,30,TIMEOUT,51.7,1.7215,low,sideways,No,bearish,55.6,9.6,No,0.04,0.29,No,No,No,No,7,4
CALL,4238.18,4225.47,-6.00,11,SL,64.7,1.7276,low,sideways,No,bullish,57.3,20.1,No,0.03,0.30,No,Yes,No,No,9,4
CALL,4229.61,4225.79,-1.81,30,TIMEOUT,50.7,2.2657,low,sideways,No,bullish,74.7,23.1,No,0.05,0.24,No,No,No,No,11,4
PUT,4231.75,4236.58,-2.28,30,TIMEOUT,61.3,1.6188,low,sideways,Yes,bearish,50.6,29.9,Yes,0.04,0.13,No,No,No,No,11,4
CALL,4214.76,4202.12,-6.00,20,SL,34.2,2.6592,low,down,Yes,bullish,64.8,5.9,Yes,0.12,0.44,No,Yes,No,No,14,4
CALL,4198.52,4197.05,-0.70,30,TIMEOUT,45.9,3.0826,low,sideways,Yes,bullish,55.2,2.8,Yes,0.12,0.28,No,No,No,No,15,4
PUT,4194.74,4203.77,-4.31,30,TIMEOUT,35.8,2.5770,low,sideways,No,bearish,80.5,4.8,No,0.00,0.29,No,No,No,No,17,4
CALL,4156.38,4156.28,-0.05,30,TIMEOUT,30.7,6.7521,medium,down,Yes,bullish,72.6,27.4,No,0.14,0.25,No,No,No,No,18,4
PUT,4153.73,4166.19,-6.00,21,SL,45.5,2.8389,low,sideways,No,bearish,50.6,1.2,No,0.07,0.30,No,Yes,No,No,19,4
PUT,4183.77,4188.29,-2.16,30,TIMEOUT,51.8,1.8095,low,sideways,Yes,bearish,74.5,12.8,Yes,0.10,0.15,No,No,No,No,0,5
PUT,4201.25,4208.70,-3.55,30,TIMEOUT,73.3,1.8272,low,up,Yes,bearish,52.7,21.2,Yes,0.06,0.22,No,No,No,No,2,5
PUT,4207.14,4210.32,-1.51,30,TIMEOUT,56.2,1.7911,low,sideways,Yes,bearish,92.5,7.5,Yes,0.09,0.10,No,No,No,No,3,5
CALL,4208.65,4202.52,-2.91,30,TIMEOUT,51.1,1.2894,low,sideways,Yes,bullish,71.6,28.4,Yes,0.01,0.17,No,No,No,No,3,5
CALL,4189.64,4189.38,-0.12,30,TIMEOUT,46.2,2.2953,low,sideways,No,bullish,65.3,34.7,No,0.17,0.07,No,No,No,No,5,5
CALL,4180.05,4176.42,-1.74,30,TIMEOUT,67.1,1.7768,low,sideways,No,bullish,74.5,20.1,No,0.10,0.16,No,No,No,No,7,5
CALL,4180.50,4167.96,-6.00,20,SL,60.9,2.5618,low,up,No,bullish,64.2,35.8,No,0.00,0.33,No,Yes,No,No,9,5
CALL,4169.52,4169.00,-0.25,30,TIMEOUT,44.4,1.9317,low,sideways,Yes,bullish,78.0,22.0,Yes,0.06,0.16,No,No,No,No,9,5
PUT,4164.61,4166.79,-1.05,30,TIMEOUT,40.9,2.2785,low,sideways,No,bearish,56.8,20.7,No,0.11,0.15,No,No,No,No,10,5
CALL,4170.47,4157.96,-6.00,17,SL,62.9,1.4484,low,sideways,No,bullish,61.7,38.3,No,0.02,0.38,No,Yes,No,No,10,5
